depth_mm,dose_MeV
0,0.5
2,1
4,1
6,1
8,1
10,1
12,1
14,1
16,1
18,1
20,1
22,1
24,1
26,1
28,1
30,1
32,1
34,1
36,1
38,1.25
40,1.25
42,1.25
44,1.25
46,1.25
48,1.25
50,1.25
52,1.25
54,1.25
56,1.25
58,1.25
60,1.25
62,1.25
64,1.25
66,1.25
68,1.25
70,1.25
72,1.25
74,1.25
76,1.25
78,1.25
80,1.25
82,1.25
84,1.25
86,1.25
88,1.25
90,0.999999
92,1.75
94,1.75
96,1.74998
98,1.74987
100,1.74943
102,1.74808
104,1.74486
106,1.73865
108,1.72838
110,1.71327
112,1.69292
114,1.66738
116,1.6372
118,1.60268
120,1.56435
122,1.52284
124,1.47868
126,1.43249
128,1.38481
130,1.33602
132,1.28652
134,1.23666
136,1.18672
138,1.13691
140,1.08745
142,1.0385
144,0.990186
146,1.07311
148,1.2733
150,1.20737
152,1.14238
154,1.18274
156,1.11396
158,1.04662
160,1.24372
162,1.16225
164,1.15696
166,4.95027
168,0
170,0
172,0
174,0
176,0
178,0
180,0
182,0
184,0
186,0
188,0
190,0
192,0
194,0
196,0
198,0
