cell,ix,iz,x_mm,z_mm,total_weight
52,52,0,26.250000,0.250000,0.000013
53,53,0,26.750000,0.250000,0.000018
54,54,0,27.250000,0.250000,0.000025
55,55,0,27.750000,0.250000,0.000034
56,56,0,28.250000,0.250000,0.000047
57,57,0,28.750000,0.250000,0.000063
58,58,0,29.250000,0.250000,0.000084
59,59,0,29.750000,0.250000,0.000112
60,60,0,30.250000,0.250000,0.000148
61,61,0,30.750000,0.250000,0.000193
62,62,0,31.250000,0.250000,0.000252
63,63,0,31.750000,0.250000,0.000326
64,64,0,32.250000,0.250000,0.000418
65,65,0,32.750000,0.250000,0.000533
66,66,0,33.250000,0.250000,0.000675
67,67,0,33.750000,0.250000,0.000849
68,68,0,34.250000,0.250000,0.001061
69,69,0,34.750000,0.250000,0.001315
70,70,0,35.250000,0.250000,0.001620
71,71,0,35.750000,0.250000,0.001981
72,72,0,36.250000,0.250000,0.002407
73,73,0,36.750000,0.250000,0.002903
74,74,0,37.250000,0.250000,0.003477
75,75,0,37.750000,0.250000,0.004137
76,76,0,38.250000,0.250000,0.004887
77,77,0,38.750000,0.250000,0.005733
78,78,0,39.250000,0.250000,0.006679
79,79,0,39.750000,0.250000,0.007728
80,80,0,40.250000,0.250000,0.008880
81,81,0,40.750000,0.250000,0.010132
82,82,0,41.250000,0.250000,0.011481
83,83,0,41.750000,0.250000,0.012920
84,84,0,42.250000,0.250000,0.014438
85,85,0,42.750000,0.250000,0.016023
86,86,0,43.250000,0.250000,0.017659
87,87,0,43.750000,0.250000,0.019327
88,88,0,44.250000,0.250000,0.021007
89,89,0,44.750000,0.250000,0.022675
90,90,0,45.250000,0.250000,0.024305
91,91,0,45.750000,0.250000,0.025873
92,92,0,46.250000,0.250000,0.027351
93,93,0,46.750000,0.250000,0.028713
94,94,0,47.250000,0.250000,0.029935
95,95,0,47.750000,0.250000,0.030993
96,96,0,48.250000,0.250000,0.031866
97,97,0,48.750000,0.250000,0.032536
98,98,0,49.250000,0.250000,0.032992
99,99,0,49.750000,0.250000,0.033221
100,100,0,50.250000,0.250000,0.033221
101,101,0,50.750000,0.250000,0.032992
102,102,0,51.250000,0.250000,0.032536
103,103,0,51.750000,0.250000,0.031866
104,104,0,52.250000,0.250000,0.030993
105,105,0,52.750000,0.250000,0.029935
106,106,0,53.250000,0.250000,0.028713
107,107,0,53.750000,0.250000,0.027351
108,108,0,54.250000,0.250000,0.025873
109,109,0,54.750000,0.250000,0.024305
110,110,0,55.250000,0.250000,0.022675
111,111,0,55.750000,0.250000,0.021007
112,112,0,56.250000,0.250000,0.019327
113,113,0,56.750000,0.250000,0.017659
114,114,0,57.250000,0.250000,0.016023
115,115,0,57.750000,0.250000,0.014438
116,116,0,58.250000,0.250000,0.012920
117,117,0,58.750000,0.250000,0.011481
118,118,0,59.250000,0.250000,0.010132
119,119,0,59.750000,0.250000,0.008880
120,120,0,60.250000,0.250000,0.007728
121,121,0,60.750000,0.250000,0.006679
122,122,0,61.250000,0.250000,0.005733
123,123,0,61.750000,0.250000,0.004887
124,124,0,62.250000,0.250000,0.004137
125,125,0,62.750000,0.250000,0.003477
126,126,0,63.250000,0.250000,0.002903
127,127,0,63.750000,0.250000,0.002407
128,128,0,64.250000,0.250000,0.001981
129,129,0,64.750000,0.250000,0.001620
130,130,0,65.250000,0.250000,0.001315
131,131,0,65.750000,0.250000,0.001061
132,132,0,66.250000,0.250000,0.000849
133,133,0,66.750000,0.250000,0.000675
134,134,0,67.250000,0.250000,0.000533
135,135,0,67.750000,0.250000,0.000418
136,136,0,68.250000,0.250000,0.000326
137,137,0,68.750000,0.250000,0.000252
138,138,0,69.250000,0.250000,0.000193
139,139,0,69.750000,0.250000,0.000148
140,140,0,70.250000,0.250000,0.000112
141,141,0,70.750000,0.250000,0.000084
142,142,0,71.250000,0.250000,0.000063
143,143,0,71.750000,0.250000,0.000047
144,144,0,72.250000,0.250000,0.000034
145,145,0,72.750000,0.250000,0.000025
146,146,0,73.250000,0.250000,0.000018
147,147,0,73.750000,0.250000,0.000013
148,148,0,74.250000,0.250000,0.000009
